Experiment,Seed,Final_SQ_Mean,Final_Leakage_Mean,sla_violation_count,Final_Shield_Repairs,collateral_damage
Random_Defender,1,0.9515312314033508,0.7818906307220459,182.8,0.0,0.048468757420778275
Random_Defender,2,0.9496393799781799,0.7733772397041321,188.8,0.0,0.05036060884594917
Random_Defender,3,0.9493533372879028,0.7720896601676941,189.6,0.0,0.05064673349261284
Static_Threshold,1,0.9002000000000003,0.5508999999999998,499.0,0.0,0.09979999999999997
Static_Threshold,2,0.9002000000000003,0.5508999999999998,499.0,0.0,0.09979999999999997
Static_Threshold,3,0.9002000000000003,0.5508999999999998,499.0,0.0,0.09979999999999997
Adaptive_Threshold,1,1.0,1.0,0.0,0.0,0.0
Adaptive_Threshold,2,1.0,1.0,0.0,0.0,0.0
Adaptive_Threshold,3,1.0,1.0,0.0,0.0,0.0
Shield_Only,1,1.0,1.0,0.0,0.0,0.0
Shield_Only,2,1.0,1.0,0.0,0.0,0.0
Shield_Only,3,1.0,1.0,0.0,0.0,0.0
