generation,service_quality,attack_leakage,collateral_damage,sla_violations,shield_repairs,defender_reward,attacker_reward,attack_success_rate,control_latency_ms
0,0.9795174,0.90782803,0.020482672,73.6,0.0,-1.619986167359352,0.5078279465198516,1.0,0.12
1,0.9950455,0.9777044,0.0049545825,20.0,0.0,-1.1719774673223495,0.5777043443083764,1.0,0.12
2,0.9989502,0.99527556,0.0010498705,4.2,0.0,-1.036062678670883,0.5952755472540855,1.0,0.12
3,0.9997153,0.9987189,0.0002846696,0.8,0.0,-1.0063916172266008,0.598718951177597,1.0,0.12
4,0.9996682,0.9985067,0.00033183032,1.2,0.0,-1.01012515873909,0.5985067279219627,1.0,0.12
5,0.9995998,0.9981992,0.0004001797,1.2,0.0,-1.009738280892372,0.5981991555213928,1.0,0.12
6,0.999793,0.99906796,0.00020711833,0.8,0.0,-1.0068297813415528,0.5990679318070412,1.0,0.12
7,0.9998068,0.9991311,0.00019310982,0.2,0.0,-1.0009089295625686,0.5991309700131416,1.0,0.12
8,0.9998129,0.999158,0.00018711064,1.0,0.0,-1.0089428252935408,0.5991579664707184,1.0,0.12
9,0.9998752,0.9994383,0.0001248179,0.6,0.0,-1.005294681930542,0.5994382836580276,1.0,0.12
