generation,service_quality,attack_leakage,collateral_damage,sla_violations,shield_repairs,defender_reward,attacker_reward,attack_success_rate,control_latency_ms
0,0.984354,0.6638121762156487,0.015645985,33.8,164.8,-0.7172515441179276,0.48904216527938843,0.7196,0.12
1,0.9859772,0.6732949040621519,0.014022863,33.4,144.0,-0.7269355435609818,0.4997548941731453,0.7252,0.12
2,0.9881497,0.6994911068677903,0.011850278,30.2,101.6,-0.7401272434711457,0.524591098973155,0.742,0.12
3,0.9905994,0.6981908341437578,0.009400658,27.6,64.4,-0.703542793250084,0.5328208280980588,0.734,0.12
4,0.99367815,0.48703751751184465,0.006321905,16.2,35.6,-0.15691153407096864,0.36304751426279547,0.5076,0.12
5,0.9964035,0.4860574558287859,0.0035964225,9.8,15.8,-0.08199087383747101,0.37298745516240595,0.498,0.12
6,0.99818397,0.4970822267770767,0.0018160902,4.2,6.0,-0.04215061860084534,0.3714322263240814,0.5028,0.12
7,0.99888986,0.25430600316524504,0.0011101995,1.8,6.2,0.4697685430288315,0.18875600270032883,0.2568,0.12
8,0.9981012,0.9914556741714478,0.001898739,8.0,1.0,-1.0692709956645965,0.9164556862235069,1.0,0.12
9,0.9994365,0.997464656829834,0.0005634161,2.2,0.0,-1.0188166992902756,0.9224646395742894,1.0,0.12
