generation,service_quality,attack_leakage,collateral_damage,sla_violations,shield_repairs,defender_reward,attacker_reward,attack_success_rate,control_latency_ms
0,0.9847513,0.6670491309463977,0.015248677,33.8,147.2,-0.7225067143440247,0.4922091209799051,0.7236,0.12
1,0.9861484,0.6657591479510069,0.013851601,32.4,123.2,-0.7013551105499267,0.4914491391032934,0.718,0.12
2,0.9872611,0.66244681455791,0.012738891,29.8,109.0,-0.66494626288414,0.4933368068814278,0.7072,0.12
3,0.99181503,0.5960761500507593,0.008184977,21.0,52.0,-0.42916060237884524,0.4471361450403929,0.624,0.12
4,0.99506396,0.43220266218185427,0.0049359724,11.4,27.4,0.00533025918006897,0.32485266034901145,0.448,0.12
5,0.9969789,0.4765438795119524,0.0030209934,7.4,16.6,-0.03703330712318421,0.35468387759923936,0.486,0.12
6,0.998675,0.49635905010700226,0.001324953,3.2,5.6,-0.029063708066940308,0.3713590497583151,0.5,0.12
7,0.9991694,0.49780570845603944,0.0008305792,2.0,3.8,-0.018333332777023315,0.37280570825338366,0.5,0.12
8,0.99982345,0.49953661494255064,0.00017663269,0.4,0.8,-0.0036520589113235476,0.37453661488294604,0.5,0.12
9,0.99975,0.49919302053451536,0.0002499828,0.8,0.6,-0.007210952162742615,0.3741930204629898,0.5,0.12
