rolling_window,rolling_sla_threshold,min_rolling_service_quality,temporal_recovery_max_action,cumulative_sla_violations,temporal_repairs
10,0.0,0.95,0.03,0,0
10,0.0,0.95,0.05,0,0
10,0.0,0.95,0.08,0,0
10,0.0,0.99,0.03,0,355
10,0.0,0.99,0.05,0,499
10,0.0,0.99,0.08,0,499
10,0.05,0.95,0.03,0,0
10,0.05,0.95,0.05,0,0
10,0.05,0.95,0.08,0,0
10,0.05,0.99,0.03,0,355
10,0.05,0.99,0.05,0,499
10,0.05,0.99,0.08,0,499
25,0.0,0.95,0.03,0,0
25,0.0,0.95,0.05,0,0
25,0.0,0.95,0.08,0,0
25,0.0,0.99,0.03,0,378
25,0.0,0.99,0.05,0,484
25,0.0,0.99,0.08,0,499
25,0.05,0.95,0.03,0,0
25,0.05,0.95,0.05,0,0
25,0.05,0.95,0.08,0,0
25,0.05,0.99,0.03,0,378
25,0.05,0.99,0.05,0,484
25,0.05,0.99,0.08,0,499
