policy_name,shield_mode,scenario,service_quality,mitigation_efficiency,attack_leakage,collateral_damage,rolling_service_quality,rolling_collateral_damage,sla_violation_count,rolling_sla_violation_count,cumulative_sla_violation_count,instantaneous_shield_repair_count,temporal_shield_repair_count,total_shield_repair_count,mean_raw_action,mean_final_action,action_reduction_due_to_temporal_shield,dynamic_max_action_mean,latency_mean_ms,latency_p95_ms
Aggressive Stress Policy,Instantaneous Runtime Shield,clean_benign,0.96,1.0,0.0,0.040000003,0.9599999192953109,0.03999999920278788,0,0.0,0,3000,0,3000,0.9,0.1,0.0,0.1,0.015652433134770643,0.02133515663444995
Aggressive Stress Policy,Instantaneous Runtime Shield,flash_crowd,0.89568,1.0,0.0,0.10432,0.8956799320578576,0.10431999103724957,603,603.0,25,2397,0,2397,0.9,0.26079997,0.0,0.28090000000000004,0.01452248053586421,0.01829315078794024
Aggressive Stress Policy,Instantaneous Runtime Shield,long_sustained_attack,0.83416,0.8282799476981163,0.1717200523018837,0.16584,0.8358399851322174,0.16415998005121946,2697,2661.0,25,303,0,303,0.9,0.8192,0.0,0.9091,0.016016124296584167,0.018457998521625996
Aggressive Stress Policy,Instantaneous Runtime Shield,low_and_slow,0.82716,0.8187799315899611,0.18122006841003896,0.17283998,0.8288399888277054,0.17115997896343468,2847,2811.0,25,153,0,153,0.9,0.85919994,0.0,0.9541000000000001,0.014679938714834861,0.017502088303444897
Aggressive Stress Policy,Instantaneous Runtime Shield,mixed_attack_shift,0.83416,0.8282799489498138,0.17172005105018615,0.16584,0.8358399851322174,0.16415998005121946,2697,2661.0,25,303,0,303,0.9,0.8192,0.0,0.9091,0.01683437143219635,0.021586046932497983
Aggressive Stress Policy,No Shield,clean_benign,0.64,1.0,0.0,0.36,0.6399999859929085,0.3599999555647373,3000,3000.0,25,0,0,0,0.9,0.9,0.0,1.0,0.01374557876746015,0.01570805616211146
Aggressive Stress Policy,No Shield,flash_crowd,0.64,1.0,0.0,0.36,0.6399999859929085,0.3599999555647373,3000,3000.0,25,0,0,0,0.9,0.9,0.0,1.0,0.013770737481536344,0.01667115648160686
Aggressive Stress Policy,No Shield,long_sustained_attack,0.802,0.8289999476373195,0.17100005236268043,0.198,0.7998399918675423,0.20015997613966466,3000,3000.0,25,0,0,0,0.9,0.9,0.0,1.0,0.01516804357621974,0.018000006093643606
Aggressive Stress Policy,No Shield,low_and_slow,0.811,0.8194999314844609,0.18050006851553918,0.189,0.8088399922251701,0.1911599772721529,3000,3000.0,25,0,0,0,0.9,0.9,0.0,1.0,0.013945023999743475,0.016836040595080693
Aggressive Stress Policy,No Shield,mixed_attack_shift,0.802,0.8289999488989512,0.1710000511010488,0.198,0.7998399918675423,0.20015997613966466,3000,3000.0,25,0,0,0,0.9,0.9,0.0,1.0,0.015873369702603668,0.01987804571399464
Aggressive Stress Policy,Temporal Runtime Shield,clean_benign,0.96,1.0,0.0,0.040000003,0.9599999192953109,0.03999999920278788,0,0.0,0,3000,0,3000,0.9,0.1,0.0,0.1,0.014332942194111334,0.016921158385230204
Aggressive Stress Policy,Temporal Runtime Shield,flash_crowd,0.95871997,1.0,0.0,0.04128,0.9587199319601059,0.04127999965474009,48,48.0,2,2397,555,2952,0.9,0.1032,0.15724999338388443,0.10480000000000002,0.0149448337033391,0.019000048632733524
Aggressive Stress Policy,Temporal Runtime Shield,long_sustained_attack,0.97509,0.19409499323368073,0.8059050067663193,0.024910001,0.9748728067278862,0.02512720032222569,210,207.48000000000002,2,303,2487,2790,0.9,0.114549994,0.7046499703526496,0.12155,0.01747026216374555,0.021710094006266435
Aggressive Stress Policy,Temporal Runtime Shield,low_and_slow,0.97591,0.14940500929951672,0.8505949907004833,0.02409,0.975720011651516,0.024280000383034347,222,219.0,2,153,2625,2778,0.9,0.11545,0.7437499687075615,0.12285,0.015761983357757952,0.019048246031161363
Aggressive Stress Policy,Temporal Runtime Shield,mixed_attack_shift,0.97509,0.19409499199191727,0.8059050080080827,0.024910001,0.9748728067278862,0.02512720032222569,210,207.48000000000002,2,303,2487,2790,0.9,0.114549994,0.7046499703526496,0.12155,0.01827722478386325,0.02299904663232155
Bursty Near-Limit Stress Policy,Instantaneous Runtime Shield,clean_benign,0.981,1.0,0.0,0.019,0.9807709314823151,0.019229015255346895,0,0.0,0,0,0,0,0.0475,0.0475,0.0,1.0,0.014538704844502112,0.016791067173471674
Bursty Near-Limit Stress Policy,Instantaneous Runtime Shield,flash_crowd,0.981,1.0,0.0,0.019,0.9807709314823151,0.019229015255346895,0,0.0,0,0,0,0,0.0475,0.0475,0.0,1.0,0.014312571263872087,0.01754310869728214
Bursty Near-Limit Stress Policy,Instantaneous Runtime Shield,long_sustained_attack,0.98955,0.13847499680519104,0.861525003194809,0.01045,0.9892381398677826,0.010761855953373015,0,0.0,0,0,0,0,0.0475,0.0475,0.0,1.0,0.016474901291076094,0.02029819079325531
Bursty Near-Limit Stress Policy,Instantaneous Runtime Shield,low_and_slow,0.989949,0.0902705008983612,0.9097294991016388,0.010051,0.9896371418237686,0.010362855986692012,0,0.0,0,0,0,0,0.0475,0.0475,0.0,1.0,0.014681210634686673,0.0175830558873713
Bursty Near-Limit Stress Policy,Instantaneous Runtime Shield,mixed_attack_shift,0.98955,0.1384749973217646,0.8615250026782354,0.01045,0.9892381398677826,0.010761855953373015,0,0.0,0,0,0,0,0.0475,0.0475,0.0,1.0,0.017443162369697045,0.020333049178589135
Bursty Near-Limit Stress Policy,No Shield,clean_benign,0.981,1.0,0.0,0.019,0.9807709314823151,0.019229015255346895,0,0.0,0,0,0,0,0.0475,0.0475,0.0,1.0,0.013554781801455343,0.016666052397340536
Bursty Near-Limit Stress Policy,No Shield,flash_crowd,0.981,1.0,0.0,0.019,0.9807709314823151,0.019229015255346895,0,0.0,0,0,0,0,0.0475,0.0475,0.0,1.0,0.013387248909566551,0.016082981892395765
Bursty Near-Limit Stress Policy,No Shield,long_sustained_attack,0.98955,0.13847499680519104,0.861525003194809,0.01045,0.9892381398677826,0.010761855953373015,0,0.0,0,0,0,0,0.0475,0.0475,0.0,1.0,0.015377813009157157,0.018833051581168547
Bursty Near-Limit Stress Policy,No Shield,low_and_slow,0.989949,0.0902705008983612,0.9097294991016388,0.010051,0.9896371418237686,0.010362855986692012,0,0.0,0,0,0,0,0.0475,0.0475,0.0,1.0,0.014464169216807932,0.01758509170031174
Bursty Near-Limit Stress Policy,No Shield,mixed_attack_shift,0.98955,0.1384749973217646,0.8615250026782354,0.01045,0.9892381398677826,0.010761855953373015,0,0.0,0,0,0,0,0.0475,0.0475,0.0,1.0,0.015639214402957197,0.019004113710252547
Bursty Near-Limit Stress Policy,Temporal Runtime Shield,clean_benign,0.981,1.0,0.0,0.019,0.9807709314823151,0.019229015255346895,0,0.0,0,0,0,0,0.0475,0.0475,0.0,1.0,0.015199222621352723,0.019666987645905465
Bursty Near-Limit Stress Policy,Temporal Runtime Shield,flash_crowd,0.981,1.0,0.0,0.019,0.9807709314823151,0.019229015255346895,0,0.0,0,0,0,0,0.0475,0.0475,0.0,1.0,0.014087732056699073,0.016208060696953908
Bursty Near-Limit Stress Policy,Temporal Runtime Shield,long_sustained_attack,0.98955,0.13847499680519104,0.861525003194809,0.01045,0.9892381398677826,0.010761855953373015,0,0.0,0,0,0,0,0.0475,0.0475,0.0,1.0,0.01703472233202774,0.020797063189093003
Bursty Near-Limit Stress Policy,Temporal Runtime Shield,low_and_slow,0.989949,0.0902705008983612,0.9097294991016388,0.010051,0.9896371418237686,0.010362855986692012,0,0.0,0,0,0,0,0.0475,0.0475,0.0,1.0,0.014934208200429566,0.018754161283140978
Bursty Near-Limit Stress Policy,Temporal Runtime Shield,mixed_attack_shift,0.98955,0.1384749973217646,0.8615250026782354,0.01045,0.9892381398677826,0.010761855953373015,0,0.0,0,0,0,0,0.0475,0.0475,0.0,1.0,0.01945159592529914,0.0224570459977258
Edge-Riding Stress Policy,Instantaneous Runtime Shield,clean_benign,0.962,1.0,0.0,0.038,0.9620000701546669,0.03799999874085188,0,0.0,0,0,0,0,0.095,0.095,0.0,1.0,0.014353726156211147,0.017499988462077454
Edge-Riding Stress Policy,Instantaneous Runtime Shield,flash_crowd,0.962,1.0,0.0,0.038,0.9620000701546669,0.03799999874085188,0,0.0,0,0,0,0,0.095,0.095,0.0,1.0,0.014296316599939018,0.017919051606440906
Edge-Riding Stress Policy,Instantaneous Runtime Shield,long_sustained_attack,0.9791,0.17694999301433567,0.8230500069856643,0.0209,0.9788720641136169,0.02112799927778542,0,0.0,0,0,0,0,0.095,0.095,0.0,1.0,0.01640500794746913,0.02000210661208256
Edge-Riding Stress Policy,Instantaneous Runtime Shield,low_and_slow,0.98004997,0.13122500181198116,0.8687749981880188,0.019949999,0.9798220638036728,0.020177999308332802,0,0.0,0,0,0,0,0.095,0.095,0.0,1.0,0.01441946936150392,0.017332989955320954
Edge-Riding Stress Policy,Instantaneous Runtime Shield,mixed_attack_shift,0.9791,0.176949994623661,0.823050005376339,0.0209,0.9788720641136169,0.02112799927778542,0,0.0,0,0,0,0,0.095,0.095,0.0,1.0,0.016628877783659846,0.02104310697177424
Edge-Riding Stress Policy,No Shield,clean_benign,0.962,1.0,0.0,0.038,0.9620000701546669,0.03799999874085188,0,0.0,0,0,0,0,0.095,0.095,0.0,1.0,0.013774879136083959,0.016961005167104293
Edge-Riding Stress Policy,No Shield,flash_crowd,0.962,1.0,0.0,0.038,0.9620000701546669,0.03799999874085188,0,0.0,0,0,0,0,0.095,0.095,0.0,1.0,0.01337853081834813,0.016377044084947546
Edge-Riding Stress Policy,No Shield,long_sustained_attack,0.9791,0.17694999301433567,0.8230500069856643,0.0209,0.9788720641136169,0.02112799927778542,0,0.0,0,0,0,0,0.095,0.095,0.0,1.0,0.015613070359298339,0.019711033382918675
Edge-Riding Stress Policy,No Shield,low_and_slow,0.98004997,0.13122500181198116,0.8687749981880188,0.019949999,0.9798220638036728,0.020177999308332802,0,0.0,0,0,0,0,0.095,0.095,0.0,1.0,0.013977530174694644,0.0177131609234493
Edge-Riding Stress Policy,No Shield,mixed_attack_shift,0.9791,0.176949994623661,0.823050005376339,0.0209,0.9788720641136169,0.02112799927778542,0,0.0,0,0,0,0,0.095,0.095,0.0,1.0,0.015444478582746038,0.01962705355254001
