generation,service_quality,attack_leakage,collateral_damage,sla_violations,shield_repairs,defender_reward,attacker_reward,attack_success_rate,control_latency_ms
0,0.98472667,0.6669778158634901,0.0152733335,33.8,147.2,-0.7224437141656875,0.49213780587017536,0.7236,0.12
1,0.9868427,0.6711420160889625,0.013157361,32.2,121.0,-0.7077946350336075,0.49452200680077074,0.7196,0.12
2,0.98822266,0.6328683496028185,0.011777343,28.6,94.4,-0.5905621606588364,0.47235834321975706,0.6724,0.12
3,0.99316007,0.463414663541317,0.006839952,15.4,41.4,-0.10331003069877624,0.3380846590667963,0.484,0.12
4,0.9966545,0.41474414162635803,0.0033454185,8.2,19.4,0.07751292214393615,0.3014841387063265,0.4248,0.12
5,0.9970977,0.49451813037395476,0.002902287,7.2,10.4,-0.07060741176605224,0.3686281296849251,0.504,0.12
6,0.99879295,0.4962502407073975,0.0012070436,2.8,4.0,-0.024475143551826478,0.3712502403706312,0.5,0.12
7,0.9993465,0.49838093991279603,0.000653609,1.8,3.6,-0.016899651765823365,0.3733809398293495,0.5,0.12
8,0.99985194,0.49962136776447297,0.0001481405,0.2,0.8,-0.0017278061389923095,0.3746213677406311,0.5,0.12
9,0.9998427,0.499497229218483,0.00015733445,0.4,0.4,-0.0035135473489761354,0.37449722915887834,0.5,0.12
