generation,average_attacker_reward,average_attack_leakage,average_sla_violations,attack_type_distribution,attacker_id,archive_reason,diversity_score_to_archive
9,0.9224646395742894,0.997464656829834,2.2,"[0.0, 0.0, 1.0, 0.0, 0]",38cd6f5f,pareto_nondominated,0.0
8,0.9164556862235069,0.9914556741714478,8.0,"[0.0, 0.0, 1.0, 0.0, 0]",9a1154fe,pareto_nondominated,1.0
9,0.7495964345932007,0.9995964765548706,0.2,"[0.3, 0.3, 0.2, 0.2, 0]",09119062,pareto_nondominated,0.0
8,0.7485545675039291,0.9985545873641968,1.0,"[0.3, 0.3, 0.2, 0.2, 0]",4bacb5f2,pareto_nondominated,0.0
7,0.747198003873229,0.9971979260444641,2.6,"[0.3, 0.3, 0.2, 0.2, 0]",d61a0ad9,pareto_nondominated,0.0
6,0.7429700398176908,0.9929699897766113,5.0,"[0.3, 0.3, 0.2, 0.2, 0]",5efd2a3a,pareto_nondominated,1.0
3,0.5328208280980588,0.6981908341437578,27.6,"[0.4924, 0.148, 0.2904, 0.0692, 0]",38554ce5,pareto_nondominated,0.0
2,0.524591098973155,0.6994911068677903,30.2,"[0.5064, 0.1736, 0.2508, 0.0692, 0]",d58a406a,pareto_nondominated,0.0
2,0.5073901048600674,0.6742901098787785,22.0,"[0.4768, 0.2172, 0.2332, 0.0728, 0]",29ead727,pareto_nondominated,0.0
1,0.4997548941731453,0.6732949040621519,33.4,"[0.5328, 0.1544, 0.2552, 0.0576, 0]",7f1fb785,pareto_nondominated,0.0
