generation,service_quality,attack_leakage,collateral_damage,sla_violations,shield_repairs,defender_reward,attacker_reward,attack_success_rate,control_latency_ms
0,0.9864014,0.6762660440713167,0.013598645,32.6,125.6,-0.7234439031124115,0.4979860342770815,0.7256,0.12
1,0.98950976,0.6315238500356675,0.010490248,26.4,73.2,-0.5617196981668472,0.46874384318888185,0.6688,0.12
2,0.9913968,0.6591015717059374,0.008603204,22.0,50.8,-0.5666483419895172,0.48790156551897523,0.6896,0.12
3,0.99668205,0.31803185601234435,0.003317958,7.2,16.2,0.28103118784427644,0.23627185503840448,0.3276,0.12
4,0.9984003,0.33685912928581235,0.0015996384,3.0,9.4,0.29106770441532137,0.24919912836551666,0.3404,0.12
5,0.99899495,0.507049533572793,0.0010050704,1.6,5.0,-0.03338795037269592,0.38207953347861767,0.5096,0.12
6,0.99873936,0.6262162738084793,0.0012606356,4.4,1.8,-0.30064403269290924,0.43057626473903654,0.6316,0.12
7,0.99948674,0.4988604777336121,0.00051327684,1.2,2.8,-0.011394923520088196,0.3738604776263237,0.5,0.12
8,0.9995137,0.49841145725250247,0.0004863777,1.4,1.6,-0.012428940105438232,0.37341145712137225,0.5,0.12
9,0.9996863,0.49914949452877044,0.00031368845,1.0,1.4,-0.009328024768829346,0.37414949444532397,0.5,0.12
