generation,service_quality,attack_leakage,collateral_damage,sla_violations,shield_repairs,defender_reward,attacker_reward,attack_success_rate,control_latency_ms
0,0.9778392,0.90027624,0.02216084,81.6,0.0,-1.6904583250522613,0.7002761881768703,1.0,0.12
1,0.996304,0.983368,0.00369599,15.0,0.0,-1.1291068880081176,0.7833679994106293,1.0,0.12
2,0.9991885,0.99634844,0.0008114482,3.0,0.0,-1.0254153189659119,0.7963484361767769,1.0,0.12
3,0.9995955,0.9981797,0.00040449895,1.0,0.0,-1.0077134395837783,0.7981797075152397,1.0,0.12
4,0.999449,0.9975204,0.0005510254,2.0,0.0,-1.016886700439453,0.797520338511467,1.0,0.12
5,0.9998554,0.99934924,0.00014461506,0.6,0.0,-1.005182924604416,0.7993491847038269,1.0,0.12
6,0.99978614,0.9990373,0.00021392506,1.0,0.0,-1.008791324043274,0.7990372897863388,1.0,0.12
7,0.99989843,0.9995428,0.000101604244,0.2,0.0,-1.0014259363651277,0.7995427333950996,1.0,0.12
8,0.9999584,0.9998132,4.151123e-05,0.0,0.0,-0.9997654615402222,0.7998131517887116,1.0,0.12
9,0.9998045,0.9991203,0.0001954918,0.8,0.0,-1.0068954711437226,0.7991202393174172,1.0,0.12
