Experiment,Seed,Robustness_Score,Robustness_Score_01
Adaptive_Shield_NoHoF,1,0.3720506424794682,0.7720506424794682
Adaptive_Shield_NoHoF,2,0.3712415636170533,0.7712415636170533
Adaptive_Shield_NoHoF,3,0.3699174409749911,0.7699174409749912
Adaptive_NoShield,1,0.14779660320999996,0.54779660321
Adaptive_NoShield,2,0.14723967598799995,0.5472396759879999
Adaptive_NoShield,3,0.14710789082,0.54710789082
Adaptive_Shield_HoF_pareto_0.1,1,0.37355545840668264,0.7735554584066826
Adaptive_Shield_HoF_pareto_0.1,2,0.14934123993270815,0.5493412399327082
Adaptive_Shield_HoF_pareto_0.1,3,0.14208733781657465,0.5420873378165747
Static_NoShield,1,0.14779660320999996,0.54779660321
Static_NoShield,2,0.14723967598799995,0.5472396759879999
Static_NoShield,3,0.14710789082,0.54710789082
