Experiment,Seed,raw_mitigation_action_mean,final_mitigation_action_mean,temporal_repair_count,instantaneous_repair_count,collateral_damage,rolling_sla_violations,cumulative_sla_violations,attack_leakage,mitigation_efficiency,service_quality
Adaptive_Shield_NoHoF,1,0.5706800000000001,0.5706800000000001,0.6,0.6,0.0002499828,0.8,0.8,0.4991930205345153,0.5008069794654847,0.99975
Adaptive_Shield_NoHoF,2,0.53932,0.53932,1.4,1.4,0.00031368845,1.0,1.0,0.4991494945287704,0.5008505054712296,0.9996863
Adaptive_Shield_NoHoF,3,0.51192,0.51192,1.2,1.2,0.0005284051,1.4,1.4,0.4983217767000198,0.5016782232999801,0.99947166
Adaptive_NoShield,1,1.0,1.0,0.0,0.0,0.0001248179,0.6,0.6,0.9994383,0.0005616999999999983,0.9998752
Adaptive_NoShield,2,1.0,1.0,0.0,0.0,0.00027915512,0.8,0.8,0.99874383,0.001256170000000001,0.9997209
Adaptive_NoShield,3,1.0,1.0,0.0,0.0,0.0001954918,0.8,0.8,0.9991203,0.0008797000000000388,0.9998045
Adaptive_Shield_HoF_pareto_0.1,1,0.55284,0.55284,0.4,0.4,0.00015733445,0.4,0.4,0.499497229218483,0.5005027707815171,0.9998427
Adaptive_Shield_HoF_pareto_0.1,2,0.7894,0.7894,0.0,0.0,8.9681176e-05,0.2,0.2,0.9995964765548706,0.00040352344512939453,0.99991035
Adaptive_Shield_HoF_pareto_0.1,3,0.6686,0.6686,0.0,0.0,0.0005634161,2.2,2.2,0.997464656829834,0.0025353431701660156,0.9994365
Static_NoShield,1,1.0,1.0,0.0,0.0,0.0001248179,0.6,0.6,0.9994383,0.0005616999999999983,0.9998752
Static_NoShield,2,1.0,1.0,0.0,0.0,0.00027915512,0.8,0.8,0.99874383,0.001256170000000001,0.9997209
Static_NoShield,3,1.0,1.0,0.0,0.0,0.0001954918,0.8,0.8,0.9991203,0.0008797000000000388,0.9998045
